,0,1
0,461105,"MCKEESPORT (KDKA) – Allegheny County Police say they have issued an arrest warrant for the suspected gunman in an overnight shooting during a New Year’s Eve party in McKeesport.According to emergency dispatchers, the shooting happened near the intersection of Versailles Avenue and Coursin Street before 3:15 a.m. Three men and a woman were wounded in the gunfire.Police are identifying the suspect as 20-year-old Julian Sims.Sims is being charged with one count of criminal attempt homicide, four counts of aggravated assault, and four counts of recklessly endangering other persons as well as firearms violations. Sims is also wanted on a previously existing warrant for firearms violations, police said.He is described as a light-skinned African American male, about five-foot-seven, 145 pounds with freckles and a large tattoo on the left side of his neck that says “Bridgette.”Investigators say Sims should be considered armed and dangerous, and is known to frequent the Wilkinsburg, Braddock and Duquesne areas.For most of New Year’s Eve evening, Gabriel Patterson’s Versailles Avenue house party was the place to be for about 140 people. The party information was posted on Facebook ahead of time.By 3:15 a.m., most of the guests had left, except for three strangers and that’s when the trouble began.“I was sleeping. I woke up; I asked [them] to start clearing out… it’s time to go home. Came downstairs and [they were] sitting on the couch and they [weren’t] ready to go. They got mad that I told them to leave and they started shooting. I was really scared,” Patterson said. “I’d never been in a situation like that in my life.”Groggy from sleep, Patterson woke up quick with terrible images and fear now filling his mind.One of the four people shot was Patterson’s good friend.“That’s my high school buddy. I wrestled with him and played football with him. I know [he] got hit because I [saw] it,” Patterson said. “That was the first time I’d ever seen anything like that. It was extreme.”Police said that young man suffered a gunshot wound to the abdomen and is in critical but stable condition. The other three victims suffered minor wounds and are also expected to be okay.For Patterson, fear is now anger and his thoughts are with his friend.“If he’s not alright, it’s not going to be pretty,” he said. “It’s not going to be pretty.”<em>Anyone with information on Sims’ whereabouts is asked to contact the Allegheny County Police Homicide Unit at 412-473-3000.</em><strong>RELATED LINKS</strong><a href=""https://pittsburgh.cbslocal.com/category/news/local/"" target=""_blank"">More Local News</a>"
1,461105,"A U.S. Marshals task force has arrested a man accused of crashing a New Years party and shooting four people after he was kicked out.Officers found Julian L. Sims, 20, at 4:30 p.m. Thursday in the 400 block of Stokes Avenue in Braddock.Police said Sims was one of four men who crashed the New Year’s gathering about 3 a.m. and then became angry when they were asked to leave.McKeesport resident Gabriel Patterson said about 150 people were packed inside his home near the corner of Versailles and Coursin streets when the festivities came to a frightening and violent end.“It was 3 o’clock in the morning. It was time for bed. They showed up. I told them it was time to leave. They didn’t leave; they got mad that I told them to leave and they start shooting,” Patterson said.Authorities said Sims was one of those uninvited guests who fired the shots. He evaded authorities for 17 days.Police said Sims shot three people in their legs or feet and another person in the abdomen. All were expected to recover.Patterson said he was glad authorities were able to make the arrest.Sims faces charges of criminal attempted homicide, four counts each of aggravated assault and recklessly endangering others, as well as firearms violations.
Hearst Television participates in various affiliate marketing programs, which means we may get paid commissions on purchases made through our links to retailer sites."
2,461105,
3,460726,"<strong>HAWTHORNE (CBSLA.com) —</strong>The incident happened shortly after 1 a.m. Tuesday in the 13500 block of Cerise Avenue.Investigators said four people were shot when an argument escalated at a party with more than 40 people in attendance.An unidentified mother of two who lives a few houses away from where the shooting occurred said she kept her kids inside when she heard a fight.“I didn’t see it actually happen, but I heard that somebody just walked up and started shooting…we heard a lot of loud arguing, and we heard a lot of gunshots. Then I also heard a car speeding off after the gunshots,” the woman told CBS2’s Kristine Lazar.Police said a person in the speeding car was driving one of the victims to the hospital. That man later died.The three other victims were taken to the hospital and are expected to survive.Another woman who wished to remain anonymous told Lazar that she believes gangs are to blame for what happened.“From my understanding, Hawthorne does not belong to one gang. It’s a melting pot of all different gangs, which is what makes it so dangerous,” she said.Officials haven’t yet made any arrests in connection to the shootings.Please log in using one of these methods to post your comment:


Connecting to %s<input id=""subscribe"" name=""subscribe"" style=""width: auto;"" type=""checkbox"" value=""subscribe""/><input id=""subscribe_blog"" name=""subscribe_blog"" style=""width: auto;"" type=""checkbox"" value=""subscribe""/>
<input id=""akismet_comment_nonce"" name=""akismet_comment_nonce"" type=""hidden"" value=""e5f4a0c6aa""/><input id=""ak_js"" name=""ak_js"" type=""hidden"" value=""91""/>"
4,460726,"<iframe frameborder=""no"" height=""347"" marginheight=""0px"" marginwidth=""0px"" noresize=""noresize"" scrolling=""no"" src=""https://embed.newsinc.com/Single/iframe.html?WID=2&amp;VID=24112902&amp;freewheel=91002&amp;sitesection=latimes&amp;height=347&amp;width=620"" width=""620""></iframe>About an hour after revelers at a house party in Hawthorne rang in 2013, a gunman opened fire, killing one person and injuring three others, authorities said.Police stopped a vehicle that sped away from the residence at the corner of  Three other victims, some of the roughly 40 people who gathered for the New Year’s Eve party, were hospitalized with gunshot wounds that authorities described as non-life-threatening.  Sheriff's homicide detectives, working with the Hawthorne Police Department, started combing the scene for evidence early Tuesday morning.Investigators didn’t immediately have any information on a suspect or a motive.<strong>ALSO:</strong><a href=""https://latimesblogs.latimes.com/lanow/2012/12/woman-escapes-would-be-kidnappers-in-encinitas.html"" target=""_self"">Woman fights back, escapes kidnappers in Encinitas</a><a href=""https://latimesblogs.latimes.com/lanow/2012/12/search-teams-save-stranded-man-dogs.html"" target=""_self"">Search and rescue teams save stranded man and dogs </a>-- Marisa Gerber"
5,460726,"<a href=""https://usgunviolence.wordpress.com/2013/01/01/police-officer-wounded/male/"" rel=""attachment wp-att-6""><img alt=""male"" height=""100"" src=""https://usgunviolence.files.wordpress.com/2013/01/male.jpg?w=47&amp;h=100"" width=""47""/></a>HAWTHORNE — The name of a 20-year-old man who was killed in a shooting that also left three other people wounded at an early morning New Year’s party in Hawthorne was released today by a coroner’s investigator.He was Bernard Gillis, according to the Los Angeles County coroner’s office. Gillis’ hometown was unknown, said the coroner’s investigator who declined to give her full name.More than 40 revelers were celebrating at a home in the 13500 block of Cerise Avenue when shots rang out at about 1:15 a.m. Tuesday, sheriff’s sergeant Diane Hecht said in a statement.Another victim was also transported to the hospital by a friend, while two others were taken by ambulance to area hospitals, Hecht said. The three other victims did not suffer life-threatening wounds, Hecht said.<a href=""http://www.dailybulletin.com/california/ci_22316982/man-killed-shooting-at-new-years-party-hawthorne"">http://www.dailybulletin.com/california/ci_22316982/man-killed-shooting-at-new-years-party-hawthorne</a><a href=""http://www.contracostatimes.com/california/ci_22292462/hawthorne-party-turns-deadly-shooting-leaves-1-man"" rel=""nofollow"">http://www.contracostatimes.com/california/ci_22292462/hawthorne-party-turns-deadly-shooting-leaves-1-man</a><a href=""http://www.dailybreeze.com/news/ci_22292462/hawthorne-party-turns-deadly-shooting-leaves-1-man"" rel=""nofollow"">http://www.dailybreeze.com/news/ci_22292462/hawthorne-party-turns-deadly-shooting-leaves-1-man</a><a href=""http://latimesblogs.latimes.com/lanow/2013/01/hawthorne-new-year-party-three-killed.html"" rel=""nofollow"">http://latimesblogs.latimes.com/lanow/2013/01/hawthorne-new-year-party-three-killed.html</a><a href=""http://www.nbclosangeles.com/news/local/Shooting-Death-Lakewood-New-Years-Eve-185365711.html"" rel=""nofollow"">http://www.nbclosangeles.com/news/local/Shooting-Death-Lakewood-New-Years-Eve-185365711.html</a><a href=""http://losangeles.cbslocal.com/2013/01/01/man-killed-3-wounded-at-nye-party-in-hawthorne/"" rel=""nofollow"">http://losangeles.cbslocal.com/2013/01/01/man-killed-3-wounded-at-nye-party-in-hawthorne/</a><a href=""http://guardianlv.com/2013/01/hawthorne-california-shooting-leaves-1-dead-5-wounded/"" rel=""nofollow"">http://guardianlv.com/2013/01/hawthorne-california-shooting-leaves-1-dead-5-wounded/</a>Fill in your details below or click an icon to log in:



Connecting to %s<input id=""subscribe"" name=""subscribe"" style=""width: auto;"" type=""checkbox"" value=""subscribe""/><input id=""subscribe_blog"" name=""subscribe_blog"" style=""width: auto;"" type=""checkbox"" value=""subscribe""/><input class=""submit"" id=""comment-submit"" name=""submit"" type=""submit"" value=""Post Comment""/><input id=""akismet_comment_nonce"" name=""akismet_comment_nonce"" type=""hidden"" value=""89cf3bdb95""/><input id=""ak_js"" name=""ak_js"" type=""hidden"" value=""207""/>"
6,460726,"
			Trending:		Your son earns his Eagle Scout Award. Your church hosts a bake sale. Your councilman’s fence violates city ordinances.But is it news?Learn what makes a happening “newsworthy” and get tips on working with staffers to publicize your story or event at the next gathering in the Sun News Lounge.Editors and reporters will be on hand from 3 to 5 p.m. Wednesday, May 15, at the Lounge located in The Sun’s office at 290 N. D St., Suite 102, San Bernardino. Staffers will discuss how to contact the newsroom; what is news and what is not; opportunities to tell your story online; and the difference between news stories and letters to the editor and other submissions printed on the Opinion pages. There will also be time for a Q&A session with editors and writers.Space is limited; to RSVP please email Metro Editor Ryan Carter at Get the latest news delivered daily!"
7,478855,<strong>ELYRIA</strong>
8,478855,The page you are looking for could not be found.Copyright © Lorain County Printing and Publishing Co.
9,478925,"<strong>AURORA, Colo. (CBS4/AP)</strong>Three people were found dead inside the townhome near Hampden and Kalispell just after 9 a.m. Saturday. Aurora police Sgt. Cassidee Carlson said two men and a woman appeared to have been killed before officers arrived.A fifth person, identified by a person close to the family as Stephanie Archuleta, escaped unharmed. She called police to report that she saw three people inside the home who “appeared lifeless,” said Carlson, who declined to elaborate about the woman’s escape.A person close to the family confirmed the names of those who died to CBS4. The gunman has been identified as Stephanie Archuleta’s husband, Sonny Archuleta, 33. The other victims have been identified as Stephanie Archuleta’s sister, Stacie Philbrook and her boyfriend, Chris Ratliffe; and Sonny Archuleta’s father-in-law, Anthony Ticali.Sonny Archuleta had been barricaded inside the home in the 16000 block of East Ithaca Place since 3 a.m. Saturday. Neighbors also had called police and said they had heard gunshots coming from the home.“The cop said, ‘Yeah, he’s been on a methamphetamine binge for the past four days,’ ” neighbor Jennifer Williams told CBS4.Several neighboring townhomes were evacuated for safety reasons. Both directions of Hampden were shut down from Kalispell to Laredo for several hours. All lanes of Hampden were reopened at 10 a.m.(credit: CBS)SWAT teams converged outside the home and tried to contact Sonny Archuleta. They were unable to get him to leave the residence. Teams deployed tear gas inside the home about 8:30 a.m. in an effort to get him to come out.SWAT officers fired back at Sonny Archuleta after he shot at their armored vehicles from a second story window. It wasn’t known if officers shot the suspect or if he shot himself.<strong>RELATED: <a href=""https://denver.cbslocal.com/2013/01/06/close-friend-of-victim-in-standoff-wants-more-information-from-police/"">Close Friend Of Victim In Standoff Wants More Information From Police</a></strong>“After we arrived on scene, there were no more shots fired up until he fired at us,” Carlson said. “During this time he was all over the house. He moved furniture. He was throwing things. He was agitated. He was irrational.When officers entered the home they found the three people dead inside.Stephanie Archuleta (credit: Facebook)A motive for the killings was unknown. Police wearing gloves and carrying evidence bags were going over the crime scene.“Obviously we’ll have to determine if it was our rounds or his rounds,” Carlson said.Even though CBS4 has found the names of those involved, police have not confirmed the relationship between the gunman and those found dead or how they were killed.“We have an idea of who they are, but we obviously want to confirm their identities with the coroner,” Carlson said.Next-door neighbor Melissa Wright, a nurse who treated victims of the July movie theater shootings in Aurora, said she was in her second-floor bedroom when she saw the gunman start shooting from his own bedroom window. She said she didn’t know what he was shooting at, and that she quickly dropped to the floor.“I hit the ground pretty fast,” Wright said.Wright said she slid on her belly to the first floor of her home and told police what she saw upstairs. Officers quickly entered her home.(credit: CBS)Wright said she knew the gunman as Sonny Archuleta — a name used by police officers trying to negotiate with the man with the bullhorn. Wright said the townhome may have been inhabited by the gunman, the gunman’s wife, her father and another man.“As the morning progressed I started hearing things more clearly and the cops were saying, ‘Sonny, so and so, I have your wife Stephanie with us,’ ” neighbor Shauna Bustios said.A family member of Chris Ratliffe’s, Edmund Daniel, also spoke with CBS4.“We loved him dearly. We know he was going through some things in life that he was definitely trying to change to right his wrongs in life,” Daniel said.Chris Ratliffe (credit: CBS)Sonny and Stephanie Archuleta previously lived in Englewood. A former landlord, Paul Ramsey, told CBS4 she performed child care at a church. He also said Sonny Archuleta was temperamental.“Sonny was a combustible figure, so I’m not surprised that he could do something off the rails. I’m surprised that he could do this,” Ramsey said.Sonny and Stephanie Archuleta (credit: Facebook)Sonny Archuleta has a criminal past including 2012 misdemeanor arrests for a fugitive warrant out of Aurora for reckless endangerment, in Denver for carrying a concealed weapon, and another in Denver for prohibited use of a weapon.The officers who fired their weapons were placed on paid administrative leave pending an internal investigation, which is standard procedure<em>(TM and © Copyright 2013 CBS Radio Inc. and its relevant subsidiaries. CBS RADIO and EYE Logo TM and Copyright 2012 CBS Broadcasting Inc. Used under license. All Rights Reserved. This material may not be published, broadcast, rewritten, or redistributed. The Associated Press contributed to this report.) </em>Please log in using one of these methods to post your comment:


Connecting to %s
<input id=""akismet_comment_nonce"" name=""akismet_comment_nonce"" type=""hidden"" value=""646f39208d""/><input id=""ak_js"" name=""ak_js"" type=""hidden"" value=""248""/>"
